,_id,keywordId,adGroupId,campaignId,profileId,targeting,clicks,impressions,cost,purchases1d,purchases7d,purchases30d,sales30d,date,__v,conversions,sales,campaignName,adGroupName,matchType,Unnamed: 0,CR,x_prior,x_post ,Date
0,63882d10ea239eac10b48044,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,1,0.0,0,0,0,0.0,2022-09-08,0,0,0.0,Brace - SP - Competitor manual,brace,broad,8.0,0.0884270720720206,0.088493472757215,0.0884270720720206,2022-11-18
1,63882d10ea239eac10b48042,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,0,0.0,0,0,0,0.0,2022-09-05,0,0,0.0,Brace - SP - Competitor manual,brace,broad,8.0,0.0884270720720206,0.088493472757215,0.0884270720720206,2022-11-18
2,63882d10ea239eac10b4803f,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,5,0.0,0,0,0,0.0,2022-09-02,0,0,0.0,Brace - SP - Competitor manual,brace,broad,8.0,0.0884270720720206,0.088493472757215,0.0884270720720206,2022-11-18
3,63882d10ea239eac10b48045,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,1,0.0,0,0,0,0.0,2022-09-11,0,0,0.0,Brace - SP - Competitor manual,brace,broad,8.0,0.0884270720720206,0.088493472757215,0.0884270720720206,2022-11-18
4,63882d10ea239eac10b48041,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,2,0.0,0,0,0,0.0,2022-09-04,0,0,0.0,Brace - SP - Competitor manual,brace,broad,8.0,0.0884270720720206,0.088493472757215,0.0884270720720206,2022-11-18
5,63882d10ea239eac10b48043,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,0,0.0,0,0,0,0.0,2022-09-07,0,0,0.0,Brace - SP - Competitor manual,brace,broad,8.0,0.0884270720720206,0.088493472757215,0.0884270720720206,2022-11-18
6,63882d10ea239eac10b48040,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,3,0.0,0,0,0,0.0,2022-09-03,0,0,0.0,Brace - SP - Competitor manual,brace,broad,8.0,0.0884270720720206,0.088493472757215,0.0884270720720206,2022-11-18
7,63882d10ea239eac10b48048,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,1,0.0,0,0,0,0.0,2022-09-18,0,0,0.0,Brace - SP - Competitor manual,brace,broad,8.0,0.0884270720720206,0.088493472757215,0.0884270720720206,2022-11-18
8,63882d10ea239eac10b48047,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,0,0.0,0,0,0,0.0,2022-09-13,0,0,0.0,Brace - SP - Competitor manual,brace,broad,8.0,0.0884270720720206,0.088493472757215,0.0884270720720206,2022-11-18
9,63882d10ea239eac10b48046,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,1,0.0,0,0,0,0.0,2022-09-12,0,0,0.0,Brace - SP - Competitor manual,brace,broad,8.0,0.0884270720720206,0.088493472757215,0.0884270720720206,2022-11-18
10,63882d10ea239eac10b48161,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,1,0.0,0,0,0,0.0,2022-09-25,0,0,0.0,Brace - SP - Competitor manual,brace,broad,8.0,0.0884270720720206,0.088493472757215,0.0884270720720206,2022-11-18
11,63882d10ea239eac10b48163,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,2,0.0,0,0,0,0.0,2022-09-29,0,0,0.0,Brace - SP - Competitor manual,brace,broad,8.0,0.0884270720720206,0.088493472757215,0.0884270720720206,2022-11-18
12,63882d10ea239eac10b48164,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,5,0.0,0,0,0,0.0,2022-10-02,0,0,0.0,Brace - SP - Competitor manual,brace,broad,8.0,0.0884270720720206,0.088493472757215,0.0884270720720206,2022-11-18
13,63882d10ea239eac10b481e5,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,0,0.0,0,0,0,0.0,2022-10-04,0,0,0.0,Brace - SP - Competitor manual,brace,broad,8.0,0.0884270720720206,0.088493472757215,0.0884270720720206,2022-11-18
14,63882d10ea239eac10b481e6,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,2,0.0,0,0,0,0.0,2022-10-08,0,0,0.0,Brace - SP - Competitor manual,brace,broad,8.0,0.0884270720720206,0.088493472757215,0.0884270720720206,2022-11-18
15,63882d10ea239eac10b481e8,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,0,0.0,0,0,0,0.0,2022-10-13,0,0,0.0,Brace - SP - Competitor manual,brace,broad,8.0,0.0884270720720206,0.088493472757215,0.0884270720720206,2022-11-18
16,63882d10ea239eac10b481e9,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,2,0.0,0,0,0,0.0,2022-10-14,0,0,0.0,Brace - SP - Competitor manual,brace,broad,8.0,0.0884270720720206,0.088493472757215,0.0884270720720206,2022-11-18
17,63882d10ea239eac10b481ea,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,1,0.0,0,0,0,0.0,2022-10-16,0,0,0.0,Brace - SP - Competitor manual,brace,broad,8.0,0.0884270720720206,0.088493472757215,0.0884270720720206,2022-11-18
18,63882d10ea239eac10b482f4,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,0,0.0,0,0,0,0.0,2022-10-31,0,0,0.0,Brace - SP - Competitor manual,brace,broad,8.0,0.0884270720720206,0.088493472757215,0.0884270720720206,2022-11-18
19,63882d10ea239eac10b482f5,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,1,0.0,0,0,0,0.0,2022-11-01,0,0,0.0,Brace - SP - Competitor manual,brace,broad,8.0,0.0884270720720206,0.088493472757215,0.0884270720720206,2022-11-18
20,63882d10ea239eac10b48380,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,1,0.0,0,0,0,0.0,2022-11-02,0,0,0.0,Brace - SP - Competitor manual,brace,broad,8.0,0.0884270720720206,0.088493472757215,0.0884270720720206,2022-11-18
21,63882d10ea239eac10b48381,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,2,0.0,0,0,0,0.0,2022-11-04,0,0,0.0,Brace - SP - Competitor manual,brace,broad,8.0,0.0884270720720206,0.088493472757215,0.0884270720720206,2022-11-18
